experiment,id,round,block,position,nPairs,isLastPair,outcomeA,outcomeB,spread,viewTime,choiceB,whichFirst,a3Col
prereg,02e718572c3227791c87f4d0,2,long,9,51,0,1.64,1.68,.039999999,.417,1,,
prereg,02e718572c3227791c87f4d0,2,long,10,51,0,0,.04,.039999999,.478,1,,
prereg,02e718572c3227791c87f4d0,2,long,11,51,0,1.68,1.72,.039999999,.4,1,,
prereg,02e718572c3227791c87f4d0,2,long,12,51,0,.96,1,.039999999,.149,1,,
prereg,02e718572c3227791c87f4d0,2,long,13,51,0,.6,.64,.039999999,.507,1,,
prereg,02e718572c3227791c87f4d0,2,long,14,51,0,1.32,1.36,.039999999,.473,1,,
prereg,02e718572c3227791c87f4d0,2,long,15,51,0,.36,.4,.039999999,.433,1,,
prereg,02e718572c3227791c87f4d0,2,long,16,51,0,.12,.16,.039999999,.384,1,,
prereg,02e718572c3227791c87f4d0,2,long,17,51,0,1.88,1.92,.039999999,.478,1,,
prereg,02e718572c3227791c87f4d0,2,long,18,51,0,.76,.8,.039999999,.418,1,,
prereg,02e718572c3227791c87f4d0,2,long,19,51,0,1.52,1.56,.039999999,.446,1,,
prereg,02e718572c3227791c87f4d0,2,long,20,51,0,.04,.08,.039999999,.48,1,,
prereg,02e718572c3227791c87f4d0,2,long,21,51,0,1.48,1.52,.039999999,.398,1,,
prereg,02e718572c3227791c87f4d0,2,long,22,51,0,1.8,1.84,.039999999,.384,1,,
prereg,02e718572c3227791c87f4d0,2,long,23,51,0,1.08,1.12,.039999999,.421,1,,
prereg,02e718572c3227791c87f4d0,2,long,24,51,0,.92,.96,.039999999,.367,1,,
prereg,02e718572c3227791c87f4d0,2,long,25,51,0,.64,.68,.039999999,.396,1,,
prereg,02e718572c3227791c87f4d0,2,long,26,51,0,1.84,1.88,.039999999,.399,1,,
prereg,02e718572c3227791c87f4d0,2,long,27,51,0,.48,.52,.039999999,.413,1,,
prereg,02e718572c3227791c87f4d0,2,long,28,51,0,1.04,1.08,.039999999,.414,1,,
prereg,02e718572c3227791c87f4d0,2,long,29,51,0,.24,.28,.039999999,.464,1,,
prereg,02e718572c3227791c87f4d0,2,long,30,51,0,1.16,1.2,.039999999,.462,1,,
prereg,02e718572c3227791c87f4d0,2,long,31,51,0,.52,.5600000000000001,.039999999,.493,1,,
prereg,02e718572c3227791c87f4d0,2,long,32,51,0,.44,.48,.039999999,.421,1,,
prereg,02e718572c3227791c87f4d0,2,long,33,51,0,.8,.84,.039999999,.51,1,,
prereg,02e718572c3227791c87f4d0,2,long,34,51,0,.68,.72,.039999999,.411,1,,
prereg,02e718572c3227791c87f4d0,2,long,35,51,0,.28,.32,.039999999,.384,1,,
prereg,02e718572c3227791c87f4d0,2,long,36,51,0,1.2,1.24,.039999999,.43,1,,
prereg,02e718572c3227791c87f4d0,2,long,37,51,0,2,0,2,.387,1,,
prereg,02e718572c3227791c87f4d0,2,long,38,51,0,1.4,1.44,.039999999,.463,1,,
prereg,02e718572c3227791c87f4d0,2,long,39,51,0,.88,.92,.039999999,.429,1,,
prereg,02e718572c3227791c87f4d0,2,long,40,51,0,.4,.44,.039999999,.363,1,,
prereg,02e718572c3227791c87f4d0,2,long,41,51,0,1,1.04,.039999999,.336,1,,
prereg,02e718572c3227791c87f4d0,2,long,42,51,0,.5600000000000001,.6,.039999999,.119,1,,
prereg,02e718572c3227791c87f4d0,2,long,43,51,0,1.36,1.4,.039999999,.32,1,,
prereg,02e718572c3227791c87f4d0,2,long,44,51,0,1.6,1.64,.039999999,.382,1,,
prereg,02e718572c3227791c87f4d0,2,long,45,51,0,1.28,1.32,.039999999,.379,1,,
prereg,02e718572c3227791c87f4d0,2,long,46,51,0,.2,.24,.039999999,.367,1,,
prereg,02e718572c3227791c87f4d0,2,long,47,51,0,1.12,1.16,.039999999,.368,1,,
prereg,02e718572c3227791c87f4d0,2,long,48,51,0,.16,.2,.039999999,.524,1,,
prereg,02e718572c3227791c87f4d0,2,long,49,51,0,1.24,1.28,.039999999,.194,1,,
prereg,02e718572c3227791c87f4d0,2,long,50,51,0,.32,.36,.039999999,.297,1,,
prereg,02e718572c3227791c87f4d0,2,long,51,51,1,1.92,1.96,.039999999,.449,1,,
prereg,036c563c9df9263b66945a47,1,short,1,11,0,.8,1,.2,12.174,0,,
prereg,036c563c9df9263b66945a47,1,short,2,11,0,1.2,1.4,.2,11.062,0,,
prereg,036c563c9df9263b66945a47,1,short,3,11,0,.6,.8,.2,7.808,0,,
prereg,036c563c9df9263b66945a47,1,short,4,11,0,1.4,1.6,.2,4.74,0,,
prereg,036c563c9df9263b66945a47,1,short,5,11,0,.4,.6,.2,6.742,0,,
prereg,036c563c9df9263b66945a47,1,short,6,11,0,1.6,1.8,.2,3.277,0,,
prereg,036c563c9df9263b66945a47,1,short,7,11,0,1.8,2,.2,2.254,0,,
prereg,036c563c9df9263b66945a47,1,short,8,11,0,0,.2,.2,2.584,0,,
prereg,036c563c9df9263b66945a47,1,short,9,11,0,2,0,2,2.478,0,,
prereg,036c563c9df9263b66945a47,1,short,10,11,0,.2,.4,.2,2.49,0,,
prereg,036c563c9df9263b66945a47,1,short,11,11,1,1,1.2,.2,1.692,0,,
prereg,036c563c9df9263b66945a47,2,long,1,51,0,.28,.32,.039999999,4.835,0,,
prereg,036c563c9df9263b66945a47,2,long,2,51,0,.32,.36,.039999999,1.501,0,,
prereg,036c563c9df9263b66945a47,2,long,3,51,0,1.2,1.24,.039999999,.9360000000000001,0,,
prereg,036c563c9df9263b66945a47,2,long,4,51,0,.88,.92,.039999999,.275,0,,
prereg,036c563c9df9263b66945a47,2,long,5,51,0,1.32,1.36,.039999999,24.6,0,,
prereg,036c563c9df9263b66945a47,2,long,6,51,0,0,.04,.039999999,2.259,0,,
prereg,036c563c9df9263b66945a47,2,long,7,51,0,.2,.24,.039999999,1.019,0,,
prereg,036c563c9df9263b66945a47,2,long,8,51,0,.64,.68,.039999999,1.392,0,,
prereg,036c563c9df9263b66945a47,2,long,9,51,0,1.96,2,.039999999,20.076,0,,
prereg,036c563c9df9263b66945a47,2,long,10,51,0,.24,.28,.039999999,.869,0,,
prereg,036c563c9df9263b66945a47,2,long,11,51,0,1.52,1.56,.039999999,6.826,0,,
prereg,036c563c9df9263b66945a47,2,long,12,51,0,1.64,1.68,.039999999,3.705,0,,
prereg,036c563c9df9263b66945a47,2,long,13,51,0,.96,1,.039999999,.638,0,,
prereg,036c563c9df9263b66945a47,2,long,14,51,0,.48,.52,.039999999,1.967,0,,
prereg,036c563c9df9263b66945a47,2,long,15,51,0,1.24,1.28,.039999999,2.262,0,,
prereg,036c563c9df9263b66945a47,2,long,16,51,0,1.72,1.76,.039999999,.82,0,,
prereg,036c563c9df9263b66945a47,2,long,17,51,0,.8,.84,.039999999,.753,0,,
prereg,036c563c9df9263b66945a47,2,long,18,51,0,.08,.12,.039999999,3.024,0,,
prereg,036c563c9df9263b66945a47,2,long,19,51,0,1.8,1.84,.039999999,.8169999999999999,0,,
prereg,036c563c9df9263b66945a47,2,long,20,51,0,.68,.72,.039999999,.097,0,,
prereg,036c563c9df9263b66945a47,2,long,21,51,0,1.88,1.92,.039999999,.621,0,,
prereg,036c563c9df9263b66945a47,2,long,22,51,0,.52,.5600000000000001,.039999999,.622,0,,
prereg,036c563c9df9263b66945a47,2,long,23,51,0,.04,.08,.039999999,.158,0,,
prereg,036c563c9df9263b66945a47,2,long,24,51,0,.12,.16,.039999999,.094,0,,
prereg,036c563c9df9263b66945a47,2,long,25,51,0,1.28,1.32,.039999999,.267,0,,
prereg,036c563c9df9263b66945a47,2,long,26,51,0,.72,.76,.039999999,.588,0,,
prereg,036c563c9df9263b66945a47,2,long,27,51,0,1.48,1.52,.039999999,.103,0,,
prereg,036c563c9df9263b66945a47,2,long,28,51,0,1.68,1.72,.039999999,.758,0,,
prereg,036c563c9df9263b66945a47,2,long,29,51,0,1,1.04,.039999999,.672,0,,
prereg,036c563c9df9263b66945a47,2,long,30,51,0,.92,.96,.039999999,1.272,0,,
prereg,036c563c9df9263b66945a47,2,long,31,51,0,2,0,2,4.241,0,,
prereg,036c563c9df9263b66945a47,2,long,32,51,0,1.92,1.96,.039999999,18.837,0,,
prereg,036c563c9df9263b66945a47,2,long,33,51,0,1.76,1.8,.039999999,1.063,0,,
prereg,036c563c9df9263b66945a47,2,long,34,51,0,1.4,1.44,.039999999,2.407,0,,
prereg,036c563c9df9263b66945a47,2,long,35,51,0,1.16,1.2,.039999999,1.239,0,,
prereg,036c563c9df9263b66945a47,2,long,36,51,0,.16,.2,.039999999,1.508,0,,
prereg,036c563c9df9263b66945a47,2,long,37,51,0,1.6,1.64,.039999999,1.249,0,,
prereg,036c563c9df9263b66945a47,2,long,38,51,0,.84,.88,.039999999,1.046,0,,
prereg,036c563c9df9263b66945a47,2,long,39,51,0,.36,.4,.039999999,1.165,0,,
prereg,036c563c9df9263b66945a47,2,long,40,51,0,.5600000000000001,.6,.039999999,.6850000000000001,0,,
prereg,036c563c9df9263b66945a47,2,long,41,51,0,.76,.8,.039999999,1.758,0,,
prereg,036c563c9df9263b66945a47,2,long,42,51,0,.4,.44,.039999999,.837,0,,
prereg,036c563c9df9263b66945a47,2,long,43,51,0,1.84,1.88,.039999999,1.802,0,,
prereg,036c563c9df9263b66945a47,2,long,44,51,0,1.56,1.6,.039999999,2.045,0,,
prereg,036c563c9df9263b66945a47,2,long,45,51,0,.44,.48,.039999999,1.004,0,,
prereg,036c563c9df9263b66945a47,2,long,46,51,0,1.04,1.08,.039999999,3.627,0,,
prereg,036c563c9df9263b66945a47,2,long,47,51,0,1.12,1.16,.039999999,.873,0,,
prereg,036c563c9df9263b66945a47,2,long,48,51,0,1.44,1.48,.039999999,.93,0,,
prereg,036c563c9df9263b66945a47,2,long,49,51,0,1.36,1.4,.039999999,57.491,0,,
prereg,036c563c9df9263b66945a47,2,long,50,51,0,1.08,1.12,.039999999,3.394,0,,
prereg,036c563c9df9263b66945a47,2,long,51,51,1,.6,.64,.039999999,3.065,0,,
prereg,04cd3d681f19347e35046e0d,1,short,1,11,0,1.6,1.8,.2,5.391,1,,
prereg,04cd3d681f19347e35046e0d,1,short,2,11,0,1.4,1.6,.2,32.688,1,,
prereg,04cd3d681f19347e35046e0d,1,short,3,11,0,2,0,2,9.734,1,,
prereg,04cd3d681f19347e35046e0d,1,short,4,11,0,.6,.8,.2,9.243,1,,
prereg,04cd3d681f19347e35046e0d,1,short,5,11,0,1.8,2,.2,6.505,1,,
prereg,04cd3d681f19347e35046e0d,1,short,6,11,0,1.2,1.4,.2,6.447,1,,
prereg,04cd3d681f19347e35046e0d,1,short,7,11,0,0,.2,.2,6.294,1,,
prereg,04cd3d681f19347e35046e0d,1,short,8,11,0,.4,.6,.2,7.36,1,,
prereg,04cd3d681f19347e35046e0d,1,short,9,11,0,.2,.4,.2,3.903,1,,
prereg,04cd3d681f19347e35046e0d,1,short,10,11,0,.8,1,.2,4.255,1,,
prereg,04cd3d681f19347e35046e0d,1,short,11,11,1,1,1.2,.2,2.877,1,,
prereg,04cd3d681f19347e35046e0d,2,long,1,51,0,2,0,2,6.308,1,,
prereg,04cd3d681f19347e35046e0d,2,long,2,51,0,.5600000000000001,.6,.039999999,4.19,1,,
prereg,04cd3d681f19347e35046e0d,2,long,3,51,0,.32,.36,.039999999,4.045,1,,
prereg,04cd3d681f19347e35046e0d,2,long,4,51,0,1.84,1.88,.039999999,4.203,1,,
prereg,04cd3d681f19347e35046e0d,2,long,5,51,0,1.16,1.2,.039999999,2.768,1,,
prereg,04cd3d681f19347e35046e0d,2,long,6,51,0,.92,.96,.039999999,2.699,1,,
prereg,04cd3d681f19347e35046e0d,2,long,7,51,0,1.6,1.64,.039999999,3.113,1,,
prereg,04cd3d681f19347e35046e0d,2,long,8,51,0,.6,.64,.039999999,2.955,1,,
prereg,04cd3d681f19347e35046e0d,2,long,9,51,0,1.44,1.48,.039999999,2.507,1,,
prereg,04cd3d681f19347e35046e0d,2,long,10,51,0,.84,.88,.039999999,2.827,1,,
prereg,04cd3d681f19347e35046e0d,2,long,11,51,0,1.68,1.72,.039999999,2.493,1,,
prereg,04cd3d681f19347e35046e0d,2,long,12,51,0,.52,.5600000000000001,.039999999,2.825,1,,
prereg,04cd3d681f19347e35046e0d,2,long,13,51,0,.8,.84,.039999999,2.308,1,,
prereg,04cd3d681f19347e35046e0d,2,long,14,51,0,.48,.52,.039999999,2.143,1,,
prereg,04cd3d681f19347e35046e0d,2,long,15,51,0,.72,.76,.039999999,2.376,1,,
prereg,04cd3d681f19347e35046e0d,2,long,16,51,0,.04,.08,.039999999,2.539,1,,
prereg,04cd3d681f19347e35046e0d,2,long,17,51,0,1.92,1.96,.039999999,3.549,1,,
prereg,04cd3d681f19347e35046e0d,2,long,18,51,0,1.12,1.16,.039999999,2.197,1,,
prereg,04cd3d681f19347e35046e0d,2,long,19,51,0,1.76,1.8,.039999999,1.762,1,,
prereg,04cd3d681f19347e35046e0d,2,long,20,51,0,.64,.68,.039999999,2.088,1,,
prereg,04cd3d681f19347e35046e0d,2,long,21,51,0,1.2,1.24,.039999999,2.363,1,,
prereg,04cd3d681f19347e35046e0d,2,long,22,51,0,1.24,1.28,.039999999,1.866,1,,
prereg,04cd3d681f19347e35046e0d,2,long,23,51,0,1.36,1.4,.039999999,1.972,1,,
