id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,df
f718e28de5d3bdc45bbdf999,5.572,4.1,1.214,1.19,.706,.881,2.402,.776,1.117,.984,1.532,v21
f74dc030b81adab97208d382,11.384,8.057,4.281,2.64,3.286,2.737,2.287,1.3,1.553,1.189,1.085,v21
f801e755ca3216b0535a44eb,16.796,3.401,4.392,1.118,.708,.598,1.065,.895,1.002,.928,.68,v21
f928d841bb86d98a5e0e7a43,10.516,14.562,12.012,3.401,13.214,5.401,3.596,5.2,1.801,2.463,1.853,v21
fb3aff03744cf34c82a3e472,5.965,4.639,2.909,1.378,1.506,1.331,.802,2.587,1.198,1.063,1.284,v21
fbc7d2338c839efc41ccb4a6,166.633,3.393,1.338,1.207,6.645,5.488,69.794,1.646,.948,7.704,1.503,v21
fc0b963c0955698018a789a8,11.808,4.189,3.189,2.782,3.546,2.459,3.352,11.105,4.443,2.016,1.032,v21
fcbbeda89e7aa1d00c40bac5,5.478,10.287,86.105,2.036,3.31,2.86,1.524,2.229,4.664,2.557,3.539,v21
fd1655bfbb8199b4d08fb377,11.393,6.096,1.901,1.623,2.299,1.798,1.57,1.212,1.052,1.26,1.231,v21
fed2d046cccf8db91ba46ec3,110.184,5.317,2.333,4.613,2.416,1.363,.972,1.513,1.822,2.435,2.265,v21
ff9726a4da7a58e92fbe1f3a,8.019,4.841,2.124,2.908,5.587,3.646,1.659,1.79,1.22,2.158,1.974,v21
